Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
51855515,"50 изобретений, которые создали современную экономику. От плуга и бумаги до паспорта и штрихкода",Tim Harford,"Harford, Tim",,"=""""","=""9785001179665""",4,4.07,"Манн, Иванов и Фербер",ebook,288,2019,2017,2021/02/21,2021/02/21,currently-reading,currently-reading (#5),currently-reading,,,,2,,,0,,,,,
14739569,Колымские рассказы,Varlam Shalamov,"Shalamov, Varlam",Варлам Шаламов,"=""""","=""9785699334278""",5,4.49,Эксмо,Hardcover,960,2009,,,2021/02/21,,,read,,,,1,,,0,,,,,
54783188,Непобедимое солнце,Victor Pelevin,"Pelevin, Victor",Виктор Пелевин,"=""""","=""""",3,3.61,,ebook,350,2020,,,2021/02/21,,,read,,,,1,,,0,,,,,
23950006,Бесы,Fyodor Dostoyevsky,"Dostoyevsky, Fyodor",,"=""""","=""""",5,4.28,Общественное достояние,Kindle Edition,703,2014,1872,,2021/02/21,,,read,,,,1,,,0,,,,,
3278360,Географ глобус пропил,Алексей Иванов,"Иванов, Алексей",,"=""5352021521""","=""9785352021521""",5,4.03,Азбука-классика,Hardcover,512,2007,2005,,2021/02/21,,,read,,,,1,,,0,,,,,
7593960,Блуда и МУДО,Алексей Иванов,"Иванов, Алексей",,"=""""","=""9785911814342""",5,3.93,Азбука-классика,Hardcover,576,2007,2007,2021/02/21,2020/09/16,,,read,,,,1,,,0,,,,,
27153182,Синее пламя,Alexey Pehov,"Pehov, Alexey",Алексей Пехов,"=""""","=""9785992221213""",4,4.25,Альфа-книга,Hardcover,376,2015,2015,2020/09/08,2020/09/08,,,read,,,,1,,,0,,,,,
30829371,Порвалась дней связующая нить,Philip K. Dick,"Dick, Philip K.",Филип К. Дик,"=""""","=""""",5,3.85,,,,,1959,2020/09/01,2020/09/01,,,read,,,,2,,,0,,,,,
23278784,Летос,Alexey Pehov,"Pehov, Alexey",Алексей Пехов,"=""5992218580""","=""9785992218589""",4,4.09,Альфа-книга,Hardcover,376,2014,2014,2020/09/01,2020/09/01,,,read,,,,1,,,0,,,,,
40107229,"Вирусы. Скорее друзья, чем враги",Karin Moelling,"Moelling, Karin",Карин Мёллинг,"=""""","=""9785961469486""",4,3.13,Альпина Паблишер,Hardcover,586,2018,,2020/09/01,2020/09/01,,,read,,,,1,,,0,,,,,
25121092,Три товарища,Erich Maria Remarque,"Remarque, Erich Maria",Эрих Мария Ремарк,"=""""","=""""",5,4.49,,,,,1936,2020/09/01,2020/09/01,,,read,,,,1,,,0,,,,,
34219858,North: Finding My Way While Running the Appalachian Trail,Scott Jurek,"Jurek, Scott",Jenny Jurek,"=""0316433799""","=""9780316433792""",3,4.22,"Little, Brown Spark",Hardcover,292,2018,2018,2020/04/17,2020/04/09,,,read,,,,1,,,0,,,,,
43495400,Наука Ренессанса. Триумфальные открытия и достижения естествознания времен Парацельса и Галилея. 1450–1630,Marie Boas Hall,"Hall, Marie Boas",,"=""""","=""9785952451391""",3,3.95,Центрполиграф,Hardcover,352,2014,1962,2020/06/03,2020/04/09,,,read,,,,1,,,0,,,,,
